<br /><br />I started watching the show in reruns in 2001	[('<', 101), ('br', 85), ('/><br', 93), ('/>I', 92), ('started', 100), ('watching', 100), ('the', 90), ('show', 92), ('in', 85), ('reruns', 92), ('in', 85), ('2001', 93)]
<br /><br />I enjoy the show but it had too many faults	[('<', 101), ('br', 85), ('/><br', 93), ('/>I', 92), ('enjoy', 100), ('the', 90), ('show', 92), ('but', 89), ('it', 95), ('had', 87), ('too', 86), ('many', 84), ('faults', 92)]
<br /><br />I HATE THE MICHELLE & JOEY CHARACTERS!<br /><br />Stealing story lines from old TV shows	[('<', 101), ('br', 85), ('/><br', 97), ('/>I', 92), ('HATE', 96), ('THE', 90), ('MICHELLE', 96), ('&', 89), ('JOEY', 96), ('CHARACTERS!<br', 96), ('/><br', 93), ('/>Stealing', 99), ('story', 92), ('lines', 92), ('from', 85), ('old', 84), ('TV', 92), ('shows', 92)]
They even stole from "The Partirdge Family	[('They', 95), ('even', 86), ('stole', 100), ('from', 85), ('"', 97), ('The', 90), ('Partirdge', 96), ('Family', 96)]
" Then in 1 episode "The Partridge Family" was mentioned	[('"', 97), ('Then', 86), ('in', 85), ('1', 93), ('episode', 92), ('"', 97), ('The', 90), ('Partridge', 96), ('Family', 96), ('"', 97), ('was', 87), ('mentioned', 100)]
<br /><br />Actors playing different roles in different episodes	[('<', 101), ('br', 85), ('/><br', 97), ('/>Actors', 97), ('playing', 100), ('different', 84), ('roles', 92), ('in', 85), ('different', 84), ('episodes', 92)]
MTV Martha Quinn the most notable doing this, especially when she played herself in 1 episode	[('MTV', 96), ('Martha', 96), ('Quinn', 96), ('the', 90), ('most', 86), ('notable', 84), ('doing', 100), ('this', 90), (',', 97), ('especially', 86), ('when', 86), ('she', 95), ('played', 100), ('herself', 95), ('in', 85), ('1', 93), ('episode', 92)]
<br /><br />The Michelle character COULD NOT take a joke but then they had this little kid act out "revenge" to her sisters for a joke by them on her	[('<', 101), ('br', 85), ('/><br', 97), ('/>The', 97), ('Michelle', 96), ('character', 92), ('COULD', 100), ('NOT', 86), ('take', 100), ('a', 90), ('joke', 92), ('but', 89), ('then', 86), ('they', 95), ('had', 87), ('this', 90), ('little', 84), ('kid', 84), ('act', 92), ('out', 85), ('"', 97), ('revenge', 92), ('"', 97), ('to', 85), ('her', 90), ('sisters', 92), ('for', 85), ('a', 90), ('joke', 92), ('by', 85), ('them', 95), ('on', 85), ('her', 95)]
<br /><br />Story lines that came & went in 1 episode	[('<', 101), ('br', 96), ('/><br', 93), ('/>Story', 97), ('lines', 92), ('that', 90), ('came', 100), ('&', 89), ('went', 100), ('in', 85), ('1', 93), ('episode', 92)]
Joey getting the TV show with Frankie & Annette, never heard from it again after that	[('Joey', 96), ('getting', 100), ('the', 90), ('TV', 92), ('show', 92), ('with', 85), ('Frankie', 96), ('&', 89), ('Annette', 96), (',', 97), ('never', 86), ('heard', 100), ('from', 85), ('it', 95), ('again', 86), ('after', 85), ('that', 90)]
1 episode he is coaching soccer, 1 episode he is coaching softball/baseball	[('1', 93), ('episode', 92), ('he', 95), ('is', 87), ('coaching', 100), ('soccer', 92), (',', 97), ('1', 93), ('episode', 92), ('he', 95), ('is', 87), ('coaching', 100), ('softball', 92), ('/', 99), ('baseball', 92)]
1 game & you are out huh Danny? <br /><br />Jesse & Joey keep getting jobs REALLY QUICKLY with no experience	[('1', 93), ('game', 96), ('&', 89), ('you', 95), ('are', 87), ('out', 86), ('huh', 91), ('Danny', 96), ('?', 97), ('<', 101), ('br', 91), ('/><br', 97), ('/>Jesse', 97), ('&', 89), ('Joey', 96), ('keep', 100), ('getting', 100), ('jobs', 92), ('REALLY', 86), ('QUICKLY', 96), ('with', 85), ('no', 90), ('experience', 92)]
Wish Jodie Sweetin could have learned from Candace Cameron Bure & had a clean NON drug adult life	[('Wish', 100), ('Jodie', 96), ('Sweetin', 96), ('could', 100), ('have', 87), ('learned', 100), ('from', 85), ('Candace', 96), ('Cameron', 96), ('Bure', 96), ('&', 89), ('had', 87), ('a', 90), ('clean', 84), ('NON', 96), ('drug', 92), ('adult', 92), ('life', 92)]
It is a realistic depiction of rural ranching life which was a big part of American History	[('It', 95), ('is', 87), ('a', 90), ('realistic', 84), ('depiction', 92), ('of', 85), ('rural', 84), ('ranching', 100), ('life', 92), ('which', 90), ('was', 87), ('a', 90), ('big', 84), ('part', 92), ('of', 85), ('American', 84), ('History', 96)]
The setting is 1906 Wyoming where life had not changed much since the previous century	[('The', 90), ('setting', 92), ('is', 87), ('1906', 93), ('Wyoming', 96), ('where', 86), ('life', 92), ('had', 87), ('not', 94), ('changed', 100), ('much', 86), ('since', 98), ('the', 90), ('previous', 84), ('century', 92)]
The film keeps your interest without the added Hollywood myths	[('The', 90), ('film', 92), ('keeps', 100), ('your', 90), ('interest', 92), ('without', 85), ('the', 90), ('added', 100), ('Hollywood', 96), ('myths', 92)]
The whole family can see this movie and be intrigued about how life was like in America when it was mostly a rural nation	[('The', 90), ('whole', 84), ('family', 92), ('can', 100), ('see', 100), ('this', 90), ('movie', 92), ('and', 89), ('be', 87), ('intrigued', 100), ('about', 85), ('how', 86), ('life', 92), ('was', 87), ('like', 98), ('in', 85), ('America', 96), ('when', 86), ('it', 95), ('was', 87), ('mostly', 86), ('a', 90), ('rural', 84), ('nation', 92)]
With this film, you will escape the present and witness the daily life of 100 years ago	[('With', 85), ('this', 90), ('film', 92), (',', 97), ('you', 95), ('will', 100), ('escape', 100), ('the', 90), ('present', 92), ('and', 89), ('witness', 100), ('the', 90), ('daily', 84), ('life', 92), ('of', 85), ('100', 93), ('years', 92), ('ago', 86)]
