<br /><br />I started watching the show in reruns in 2001	[('the show', 'show', 'dobj', 'watching'), ('reruns', 'reruns', 'pobj', 'in')]
<br /><br />I enjoy the show but it had too many faults	[('the show', 'show', 'dobj', 'enjoy'), ('it', 'it', 'nsubj', 'had'), ('too many faults', 'faults', 'dobj', 'had')]
<br /><br />I HATE THE MICHELLE & JOEY CHARACTERS!<br /><br />Stealing story lines from old TV shows	[('HATE', 'HATE', 'ROOT', 'HATE'), ('THE MICHELLE', 'MICHELLE', 'dobj', 'HATE'), ('JOEY CHARACTERS!<br', 'CHARACTERS!<br', 'conj', 'MICHELLE'), ('/>Stealing story lines', 'lines', 'ROOT', 'lines'), ('old TV shows', 'shows', 'pobj', 'from')]
They even stole from "The Partirdge Family	[('They', 'They', 'nsubj', 'stole'), ('The Partirdge Family', 'Family', 'pobj', 'from')]
" Then in 1 episode "The Partridge Family" was mentioned	[('1 episode', 'episode', 'pobj', 'in'), ('The Partridge Family', 'Family', 'nsubjpass', 'mentioned')]
<br /><br />Actors playing different roles in different episodes	[('different roles', 'roles', 'dobj', 'playing'), ('different episodes', 'episodes', 'pobj', 'in')]
MTV Martha Quinn the most notable doing this, especially when she played herself in 1 episode	[('MTV Martha Quinn', 'Quinn', 'ROOT', 'Quinn'), ('she', 'she', 'nsubj', 'played'), ('herself', 'herself', 'dobj', 'played'), ('1 episode', 'episode', 'pobj', 'in')]
<br /><br />The Michelle character COULD NOT take a joke but then they had this little kid act out "revenge" to her sisters for a joke by them on her	[('Michelle character', 'character', 'nsubj', 'take'), ('a joke', 'joke', 'dobj', 'take'), ('they', 'they', 'nsubj', 'had'), ('this little kid act', 'act', 'ROOT', 'act'), ('"revenge', 'revenge', 'dobj', 'act'), ('her sisters', 'sisters', 'pobj', 'to'), ('a joke', 'joke', 'pobj', 'for'), ('them', 'them', 'pobj', 'by'), ('her', 'her', 'pobj', 'on')]
<br /><br />Story lines that came & went in 1 episode	[('<br /><br />Story lines', 'lines', 'ROOT', 'lines'), ('1 episode', 'episode', 'pobj', 'in')]
Joey getting the TV show with Frankie & Annette, never heard from it again after that	[('Joey', 'Joey', 'nsubj', 'getting'), ('the TV show', 'show', 'dobj', 'getting'), ('Frankie', 'Frankie', 'pobj', 'with'), ('Annette', 'Annette', 'conj', 'Frankie'), ('it', 'it', 'pobj', 'from')]
1 episode he is coaching soccer, 1 episode he is coaching softball/baseball	[('he', 'he', 'nsubj', 'coaching'), ('soccer', 'soccer', 'dobj', 'coaching'), ('he', 'he', 'nsubj', 'coaching'), ('softball/baseball', 'baseball', 'dobj', 'coaching')]
1 game & you are out huh Danny? <br /><br />Jesse & Joey keep getting jobs REALLY QUICKLY with no experience	[('1 game', 'game', 'nsubj', 'are'), ('you', 'you', 'conj', 'game'), ('huh Danny', 'Danny', 'attr', 'are'), ('Joey', 'Joey', 'nsubj', 'keep'), ('jobs', 'jobs', 'dobj', 'getting'), ('no experience', 'experience', 'pobj', 'with')]
Wish Jodie Sweetin could have learned from Candace Cameron Bure & had a clean NON drug adult life	[('Wish Jodie Sweetin', 'Sweetin', 'nsubj', 'learned'), ('Candace Cameron Bure', 'Bure', 'pobj', 'from'), ('a clean NON drug adult life', 'life', 'dobj', 'had')]
It is a realistic depiction of rural ranching life which was a big part of American History	[('It', 'It', 'nsubj', 'is'), ('a realistic depiction', 'depiction', 'attr', 'is'), ('rural ranching life', 'life', 'pobj', 'of'), ('a big part', 'part', 'attr', 'was'), ('American History', 'History', 'pobj', 'of')]
The setting is 1906 Wyoming where life had not changed much since the previous century	[('The setting', 'setting', 'nsubj', 'is'), ('Wyoming', 'Wyoming', 'attr', 'is'), ('life', 'life', 'nsubj', 'changed'), ('the previous century', 'century', 'pobj', 'since')]
The film keeps your interest without the added Hollywood myths	[('The film', 'film', 'nsubj', 'keeps'), ('your interest', 'interest', 'dobj', 'keeps'), ('the added Hollywood myths', 'myths', 'pobj', 'without')]
The whole family can see this movie and be intrigued about how life was like in America when it was mostly a rural nation	[('The whole family', 'family', 'nsubj', 'see'), ('this movie', 'movie', 'dobj', 'see'), ('life', 'life', 'nsubj', 'was'), ('America', 'America', 'pobj', 'in'), ('it', 'it', 'nsubj', 'was'), ('a rural nation', 'nation', 'attr', 'was')]
With this film, you will escape the present and witness the daily life of 100 years ago	[('this film', 'film', 'pobj', 'With'), ('you', 'you', 'nsubj', 'escape'), ('the present', 'present', 'dobj', 'escape'), ('the daily life', 'life', 'dobj', 'witness')]
In a beautiful, scenic environment you will see the hard physical work that was required to survive, as well as the constant worries and concerns of the elements and the market pressures that will make a difference between success or failure	[('a beautiful, scenic environment', 'environment', 'pobj', 'In'), ('you', 'you', 'nsubj', 'see'), ('the hard physical work', 'work', 'dobj', 'see'), ('the elements', 'elements', 'pobj', 'of'), ('the market pressures', 'pressures', 'conj', 'elements'), ('a difference', 'difference', 'dobj', 'make'), ('success', 'success', 'pobj', 'between'), ('failure', 'failure', 'conj', 'success')]
See this movie and experience life as it was for most of our nation's history	[('this movie', 'movie', 'dobj', 'See'), ('experience', 'experience', 'conj', 'See'), ('life', 'life', 'dobj', 'experience'), ('it', 'it', 'nsubj', 'was'), ("our nation's history", 'history', 'pobj', 'of')]
