<br /><br />I started watching the show in reruns in 2001	['<', 'br', '/><br', '/>I', 'started', 'watching', 'the', 'show', 'in', 'reruns', 'in', '2001']
<br /><br />I enjoy the show but it had too many faults	['<', 'br', '/><br', '/>I', 'enjoy', 'the', 'show', 'but', 'it', 'had', 'too', 'many', 'faults']
<br /><br />I HATE THE MICHELLE & JOEY CHARACTERS!<br /><br />Stealing story lines from old TV shows	['<', 'br', '/><br', '/>I', 'HATE', 'THE', 'MICHELLE', '&', 'JOEY', 'CHARACTERS!<br', '/><br', '/>Stealing', 'story', 'lines', 'from', 'old', 'TV', 'shows']
They even stole from "The Partirdge Family	['They', 'even', 'stole', 'from', '"', 'The', 'Partirdge', 'Family']
" Then in 1 episode "The Partridge Family" was mentioned	['"', 'Then', 'in', '1', 'episode', '"', 'The', 'Partridge', 'Family', '"', 'was', 'mentioned']
<br /><br />Actors playing different roles in different episodes	['<', 'br', '/><br', '/>Actors', 'playing', 'different', 'roles', 'in', 'different', 'episodes']
MTV Martha Quinn the most notable doing this, especially when she played herself in 1 episode	['MTV', 'Martha', 'Quinn', 'the', 'most', 'notable', 'doing', 'this', ',', 'especially', 'when', 'she', 'played', 'herself', 'in', '1', 'episode']
<br /><br />The Michelle character COULD NOT take a joke but then they had this little kid act out "revenge" to her sisters for a joke by them on her	['<', 'br', '/><br', '/>The', 'Michelle', 'character', 'COULD', 'NOT', 'take', 'a', 'joke', 'but', 'then', 'they', 'had', 'this', 'little', 'kid', 'act', 'out', '"', 'revenge', '"', 'to', 'her', 'sisters', 'for', 'a', 'joke', 'by', 'them', 'on', 'her']
<br /><br />Story lines that came & went in 1 episode	['<', 'br', '/><br', '/>Story', 'lines', 'that', 'came', '&', 'went', 'in', '1', 'episode']
Joey getting the TV show with Frankie & Annette, never heard from it again after that	['Joey', 'getting', 'the', 'TV', 'show', 'with', 'Frankie', '&', 'Annette', ',', 'never', 'heard', 'from', 'it', 'again', 'after', 'that']
1 episode he is coaching soccer, 1 episode he is coaching softball/baseball	['1', 'episode', 'he', 'is', 'coaching', 'soccer', ',', '1', 'episode', 'he', 'is', 'coaching', 'softball', '/', 'baseball']
