<br /><br />I started watching the show in reruns in 2001	[('2001', 391)]
<br /><br />I enjoy the show but it had too many faults	[]
<br /><br />I HATE THE MICHELLE & JOEY CHARACTERS!<br /><br />Stealing story lines from old TV shows	[]
They even stole from "The Partirdge Family	[('The Partirdge Family', 388)]
" Then in 1 episode "The Partridge Family" was mentioned	[('1', 397), ('The Partridge Family', 388)]
<br /><br />Actors playing different roles in different episodes	[]
MTV Martha Quinn the most notable doing this, especially when she played herself in 1 episode	[('MTV Martha Quinn', 380), ('1', 397)]
<br /><br />The Michelle character COULD NOT take a joke but then they had this little kid act out "revenge" to her sisters for a joke by them on her	[('Michelle', 380), ('COULD', 383)]
<br /><br />Story lines that came & went in 1 episode	[('1', 397)]
Joey getting the TV show with Frankie & Annette, never heard from it again after that	[('Joey', 380), ('Frankie & Annette', 383)]
1 episode he is coaching soccer, 1 episode he is coaching softball/baseball	[('1', 397), ('1', 397)]
1 game & you are out huh Danny? <br /><br />Jesse & Joey keep getting jobs REALLY QUICKLY with no experience	[('1', 397), ('Danny', 380), ('Joey', 380), ('REALLY QUICKLY', 380)]
Wish Jodie Sweetin could have learned from Candace Cameron Bure & had a clean NON drug adult life	[('Jodie Sweetin', 380), ('Candace Cameron Bure &', 383), ('NON', 383)]
It is a realistic depiction of rural ranching life which was a big part of American History	[('American', 381)]
The setting is 1906 Wyoming where life had not changed much since the previous century	[('1906', 391), ('Wyoming', 384), ('the previous century', 391)]
The film keeps your interest without the added Hollywood myths	[('Hollywood', 384)]
The whole family can see this movie and be intrigued about how life was like in America when it was mostly a rural nation	[('America', 384)]
With this film, you will escape the present and witness the daily life of 100 years ago	[('daily', 391), ('100 years ago', 391)]
In a beautiful, scenic environment you will see the hard physical work that was required to survive, as well as the constant worries and concerns of the elements and the market pressures that will make a difference between success or failure	[]
See this movie and experience life as it was for most of our nation's history	[]
My only question is - why aren't there more films like this one	[]
If you are viewing this show for the first time, you may start wondering if you are in an alternate reality	[('first', 396)]
Colorful and imaginative characters? Entertaining dialogue? Plots that seem to have some depth to them, even creating atmospheres of suspense and drama at times? I mean, this is a syndicated children's show right? This is the same venue that has brought kids such drek as "Pokemon", "Pepper Ann", "Mighty Morphin Power Rangers", and "VR Troopers" (please note that three of the titles mentioned above are crass Japanese exports, courtesy of the Fox Network and Saban Entertainment)	[('Pokemon', 388), ('Pepper Ann', 388), ('Mighty Morphin Power Rangers', 388), ('VR Troopers', 388), ('three', 397), ('Japanese', 381), ('the Fox Network and Saban Entertainment', 383)]
Don't worry, you are just sampling some of the quality fare that was available to kids during the late 1980's and early 1990's	[('1980', 391), ('1990', 391)]
